Singapur,100
Ruanda,
Santa Elena,
Botsuana,
Zimbabue,
Guam,
Fiyi,
Ghana,50
Lesoto,
Etiopía,50
Barbados,
Nigeria,49
Estados Unidos,47
Kenia,47
Namibia,
Esuatini,
Mauricio,
Luxemburgo,
Sudán del Sur,
Brunéi,
Baréin,
Papúa Nueva Guinea,
Emiratos Árabes Unidos,36
Somalia,
Gambia,
Malaui,
Canadá,34
China,34
Catar,32
Hong Kong,31
Malasia,31
Jamaica,
Bahamas,
Guyana,
Trinidad y Tobago,
Sierra Leona,
Filipinas,29
Líbano,28
Cabo Verde,
Australia,27
Nepal,27
Camerún,
Corea del Sur,25
Kosovo,
Belice,
Arabia Saudí,24
Sudáfrica,24
Albania,
Omán,
Zambia,
Sri Lanka,23
Chipre,
Togo,
Malta,
Irlanda,22
Macao,
Laos,
Pakistán,21
Palestina,
Túnez,20
Mozambique,
Madagascar,
Puerto Rico,
Jordania,18
Costa Rica,18
India,18
Uganda,
Surinam,
Mongolia,
Estonia,
Reino Unido,17
Tanzania,
Bélgica,17
Países Bajos,17
Benín,
Nueva Zelanda,16
Camboya,
Azerbaiyán,
Marruecos,16
Kuwait,
Suiza,15
Italia,15
Afganistán,
Portugal,15
Israel,14
Angola,
Senegal,
Myanmar (Birmania),
Côte d’Ivoire,
Yemen,
Bangladés,13
Armenia,
Macedonia del Norte,
Georgia,
Rumanía,12
Noruega,11
Panamá,
Lituania,
Letonia,
Bulgaria,10
Grecia,10
Congo,
Egipto,10
Dinamarca,10
Finlandia,9
Irak,9
Vietnam,9
Islandia,
Suecia,9
Taiwán,9
Sudán,
Libia,
República Dominicana,
Haití,
Tailandia,8
Francia,8
Eslovenia,
Alemania,8
España,8
Austria,8
Moldavia,
Polonia,7
República Democrática del Congo,
Chequia,7
Argelia,
Uzbekistán,
Kazajistán,6
Serbia,
Bosnia y Herzegovina,
Eslovaquia,
Croacia,
Hungría,6
Honduras,
Perú,5
Rusia,5
Indonesia,5
Chile,5
Cuba,
Ucrania,5
Colombia,5
El Salvador,
Guatemala,
Siria,
Ecuador,
Uruguay,
México,4
Brasil,4
Argentina,4
Venezuela,
Paraguay,
Kirguistán,
Bielorrusia,
Bolivia,
Turquía,2
Irán,2
Japón,2
Territorios Australes Franceses,
Kiribati,
Islas Salomón,
Vanuatu,
Samoa,
Samoa Americana,
Tonga,
Antigua y Barbuda,
Islas Caimán,
San Cristóbal y Nieves,
Islas Vírgenes Británicas,
Bermudas,
Liberia,
Islas Turcas y Caicos,
Micronesia,
Islas Marshall,
Yibuti,
Isla de Man,
San Vicente y las Granadinas,
Santa Lucía,
Seychelles,
Curazao,
Granada,
Burundi,
Islas Vírgenes de EE. UU.,
Islas Marianas del Norte,
Liechtenstein,
Bután,
Gibraltar,
República Centroafricana,
Sint Maarten,
Aruba,
San Marino,
Comoras,
Jersey,
Níger,
Guinea Ecuatorial,
Islas Aland,
Maldivas,
Andorra,
San Martín,
Caribe neerlandés,
Guernesey,
Chad,
Timor-Leste,
Guinea,
Nueva Caledonia,
Gabón,
Burkina Faso,
Mauritania,
Guinea-Bisáu,
Sáhara Occidental,
Mali,
Guadalupe,
Montenegro,
Polinesia Francesa,
Nicaragua,
Turkmenistán,
Martinica,
Tayikistán,
Reunión,
Anguila,
Antártida,
San Bartolomé,
Isla Bouvet,
Islas Cocos,
Islas Cook,
Isla de Navidad,
Dominica,
Eritrea,
Islas Malvinas (Islas Falkland),
Islas Feroe,
Groenlandia,
Guayana Francesa,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Mónaco,
Montserrat,
Mayotte,
Isla Norfolk,
Niue,
Nauru,
Islas Pitcairn,
Palaos,
Corea del Norte,
Islas Georgia del Sur y Sandwich del Sur,
Svalbard y Jan Mayen,
San Pedro y Miquelón,
Santo Tomé y Príncipe,
Tokelau,
Tuvalu,
Islas menores alejadas de EE. UU.,
Ciudad del Vaticano,
Wallis y Futuna,
